x,y
1.0,2.7755575615628914e-17
2.0,1.3877787807814457e-17
3.0,2.7755575615628914e-17
4.0,4.163336342344337e-17
5.0,2.7755575615628914e-17
6.0,2.7755575615628914e-17
7.0,2.7755575615628914e-17
8.0,4.163336342344337e-17
9.0,1.3877787807814457e-17
10.0,2.7755575615628914e-17
11.0,4.163336342344337e-17
12.0,2.7755575615628914e-17
13.0,2.7755575615628914e-17
14.0,1.3877787807814457e-17
15.0,2.7755575615628914e-17
16.0,2.7755575615628914e-17
17.0,4.163336342344337e-17
18.0,4.163336342344337e-17
19.0,1.3877787807814457e-17
20.0,2.7755575615628914e-17
21.0,4.163336342344337e-17
22.0,2.7755575615628914e-17
23.0,4.163336342344337e-17
24.0,4.163336342344337e-17
25.0,2.7755575615628914e-17
26.0,1.3877787807814457e-17
27.0,2.7755575615628914e-17
28.0,1.3877787807814457e-17
29.0,2.7755575615628914e-17
30.0,2.7755575615628914e-17
31.0,2.7755575615628914e-17
32.0,4.163336342344337e-17
33.0,5.551115123125783e-17
34.0,2.7755575615628914e-17
35.0,2.7755575615628914e-17
36.0,2.7755575615628914e-17
37.0,8.326672684688674e-17
38.0,2.7755575615628914e-17
39.0,5.551115123125783e-17
40.0,5.551115123125783e-17
41.0,2.7755575615628914e-17
42.0,2.7755575615628914e-17
43.0,5.551115123125783e-17
44.0,0.0
45.0,5.551115123125783e-17
46.0,5.551115123125783e-17
47.0,2.7755575615628914e-17
48.0,8.326672684688674e-17
49.0,2.7755575615628914e-17
50.0,2.7755575615628914e-17
51.0,2.7755575615628914e-17
52.0,2.7755575615628914e-17
53.0,5.551115123125783e-17
54.0,0.0
55.0,2.7755575615628914e-17
56.0,0.0
57.0,2.7755575615628914e-17
58.0,5.551115123125783e-17
59.0,2.7755575615628914e-17
60.0,2.7755575615628914e-17
61.0,8.326672684688674e-17
62.0,0.0
63.0,2.7755575615628914e-17
64.0,5.551115123125783e-17
65.0,5.551115123125783e-17
66.0,2.7755575615628914e-17
67.0,5.551115123125783e-17
68.0,5.551115123125783e-17
69.0,5.551115123125783e-17
70.0,2.7755575615628914e-17
71.0,2.7755575615628914e-17
72.0,5.551115123125783e-17
73.0,2.7755575615628914e-17
74.0,5.551115123125783e-17
75.0,2.7755575615628914e-17
76.0,2.7755575615628914e-17
77.0,2.7755575615628914e-17
78.0,5.551115123125783e-17
79.0,2.7755575615628914e-17
80.0,5.551115123125783e-17
81.0,5.551115123125783e-17
82.0,5.551115123125783e-17
83.0,5.551115123125783e-17
84.0,5.551115123125783e-17
85.0,5.551115123125783e-17
86.0,1.1102230246251565e-16
87.0,5.551115123125783e-17
88.0,0.0
89.0,5.551115123125783e-17
90.0,5.551115123125783e-17
91.0,5.551115123125783e-17
92.0,5.551115123125783e-17
93.0,1.1102230246251565e-16
94.0,5.551115123125783e-17
95.0,5.551115123125783e-17
96.0,0.0
97.0,0.0
98.0,5.551115123125783e-17
99.0,5.551115123125783e-17
